Time: 1737829226.255668, ID: 15852, yaw: -0.016632, 3D yaw: -0.028953
Time: 1737829226.305472, ID: 15852, yaw: -0.018430, 3D yaw: -0.041125
Time: 1737829226.355568, ID: 15852, yaw: -0.021744, 3D yaw: -0.013199
Time: 1737829226.455554, ID: 15852, yaw: -0.020496, 3D yaw: -0.010882
Time: 1737829226.706188, ID: 15852, yaw: -0.019092, 3D yaw: -0.044169
Time: 1737829226.755212, ID: 2830, yaw: -0.075746, 3D yaw: 1.419902
Time: 1737829226.755212, ID: 15852, yaw: -0.022755, 3D yaw: -0.037657
Time: 1737829226.805007, ID: 15852, yaw: -0.024932, 3D yaw: -0.052261
Time: 1737829226.904946, ID: 15852, yaw: -0.028924, 3D yaw: -0.054009
Time: 1737829226.955020, ID: 15852, yaw: -0.032589, 3D yaw: -0.032539
Time: 1737829227.005242, ID: 15852, yaw: -0.032582, 3D yaw: -0.047403
Time: 1737829227.054607, ID: 15852, yaw: -0.034747, 3D yaw: 0.005346
Time: 1737829227.104579, ID: 2830, yaw: 0.142779, 3D yaw: 1.457057
Time: 1737829227.104579, ID: 15852, yaw: -0.028889, 3D yaw: -0.050409
Time: 1737829227.205572, ID: 15852, yaw: -0.032033, 3D yaw: 0.224792
Time: 1737829227.254261, ID: 15852, yaw: 0.005490, 3D yaw: 0.224789
Time: 1737829227.304312, ID: 15852, yaw: 0.037531, 3D yaw: 0.072433
Time: 1737829227.354118, ID: 15852, yaw: 0.042630, 3D yaw: 0.085940
Time: 1737829227.553940, ID: 15852, yaw: 0.048958, 3D yaw: 0.128400
Time: 1737829229.251242, ID: 15852, yaw: 0.060565, 3D yaw: 0.971094
Time: 1737829229.450894, ID: 15852, yaw: 0.193599, 3D yaw: 1.088710
Time: 1737829229.650636, ID: 15852, yaw: 0.324381, 3D yaw: 1.127105
Time: 1737829229.700209, ID: 15852, yaw: 0.441664, 3D yaw: 1.126008
Time: 1737829229.800121, ID: 15852, yaw: 0.541652, 3D yaw: 1.150780
Time: 1737829229.850183, ID: 15852, yaw: 0.630650, 3D yaw: 1.130113
Time: 1737829230.099834, ID: 15852, yaw: 0.703625, 3D yaw: 1.209561
Time: 1737829237.555059, ID: 38915, yaw: 0.069315, 3D yaw: 0.045183
Time: 1737829237.804546, ID: 38915, yaw: 0.068669, 3D yaw: 0.072440
Time: 1737829237.954387, ID: 38915, yaw: 0.068855, 3D yaw: 0.059726
Time: 1737829238.054248, ID: 38915, yaw: 0.068224, 3D yaw: 0.099879
Time: 1737829238.154036, ID: 38915, yaw: 0.070946, 3D yaw: 0.017040
Time: 1737829238.204650, ID: 38915, yaw: 0.065561, 3D yaw: 0.034217
Time: 1737829238.403841, ID: 38915, yaw: 0.062080, 3D yaw: -0.029869
Time: 1737829238.453545, ID: 38915, yaw: 0.051070, 3D yaw: -0.055983
Time: 1737829238.503782, ID: 38915, yaw: 0.037533, 3D yaw: -0.074274
Time: 1737829239.152703, ID: 38915, yaw: -1.800230, 3D yaw: -0.265583
Time: 1737829239.252504, ID: 38915, yaw: -0.234655, 3D yaw: 1.779662
Time: 1737829239.622609, ID: 38915, yaw: 0.057202, 3D yaw: -0.178712
Time: 1737829239.712594, ID: 38915, yaw: 0.022942, 3D yaw: -0.181668
Time: 1737829239.758011, ID: 38915, yaw: -0.006820, 3D yaw: -0.166649
Time: 1737829239.802298, ID: 38915, yaw: -0.030097, 3D yaw: -0.161771
Time: 1737829239.892061, ID: 38915, yaw: -0.049290, 3D yaw: -0.151613
Time: 1737829239.937205, ID: 38915, yaw: -0.064214, 3D yaw: -0.129369
Time: 1737829239.712594, ID: 42113, yaw: -0.095322, 3D yaw: -0.125057
Time: 1737829239.758011, ID: 42113, yaw: -0.096118, 3D yaw: -0.108633
Time: 1737829239.802298, ID: 42113, yaw: -0.096734, 3D yaw: -0.121043
Time: 1737829239.892061, ID: 42113, yaw: -0.098413, 3D yaw: -0.089713
Time: 1737829239.937205, ID: 42113, yaw: -0.097665, 3D yaw: -0.088123
Time: 1737829240.251558, ID: 42113, yaw: -0.096712, 3D yaw: -0.090785
Time: 1737829240.431503, ID: 42113, yaw: -0.096054, 3D yaw: -0.055451
Time: 1737829240.521215, ID: 42113, yaw: -0.091192, 3D yaw: -0.068430
Time: 1737829240.566050, ID: 42113, yaw: -0.088313, 3D yaw: -0.038234
Time: 1737829240.655878, ID: 42113, yaw: -0.081727, 3D yaw: -0.011413
Time: 1737829240.790942, ID: 42113, yaw: -0.072210, 3D yaw: 0.030451
Time: 1737829240.970506, ID: 42113, yaw: -0.058024, 3D yaw: 0.274420
Time: 1737829241.285012, ID: 42113, yaw: -0.011385, 3D yaw: 0.502492
Time: 1737829241.599633, ID: 42113, yaw: 0.061506, 3D yaw: 0.783341
Time: 1737829241.645457, ID: 42113, yaw: 0.164720, 3D yaw: 0.799444
Time: 1737829241.824302, ID: 42113, yaw: 0.256011, 3D yaw: 0.854695
Time: 1737829241.914700, ID: 42113, yaw: 0.342486, 3D yaw: 0.913546
Time: 1737829242.049132, ID: 42113, yaw: 0.425227, 3D yaw: 0.967462
Time: 1737829242.094377, ID: 42113, yaw: 0.503970, 3D yaw: 0.986575
Time: 1737829242.139057, ID: 42113, yaw: 0.574170, 3D yaw: 1.020501
Time: 1737829242.228888, ID: 42113, yaw: 0.639171, 3D yaw: 1.097612
Time: 1737829242.273678, ID: 42113, yaw: 0.705995, 3D yaw: 1.097615
Time: 1737829242.318775, ID: 42113, yaw: 0.763115, 3D yaw: 1.157511
Time: 1737829242.364371, ID: 42113, yaw: 0.820667, 3D yaw: 1.171124
Time: 1737829242.408317, ID: 42113, yaw: 0.871824, 3D yaw: 1.204551
Time: 1737829242.453263, ID: 42113, yaw: 0.920405, 3D yaw: 1.240081
Time: 1737829242.498189, ID: 42113, yaw: 0.967090, 3D yaw: 1.273195
Time: 1737829242.588160, ID: 42113, yaw: 1.011798, 3D yaw: 1.283965
Time: 1737829242.633338, ID: 42113, yaw: 1.051553, 3D yaw: 1.316653
Time: 1737829242.677983, ID: 42113, yaw: 1.090279, 3D yaw: 1.343237
Time: 1737829242.722945, ID: 42113, yaw: 1.127233, 3D yaw: 1.362720
Time: 1737829242.767902, ID: 42113, yaw: 1.161636, 3D yaw: 1.408582
Time: 1737829242.813219, ID: 42113, yaw: 1.197714, 3D yaw: 1.417050
Time: 1737829242.857844, ID: 42113, yaw: 1.229759, 3D yaw: 1.416823
Time: 1737829242.902824, ID: 42113, yaw: 1.257089, 3D yaw: 1.444757
Time: 1737829243.037633, ID: 42113, yaw: 1.284508, 3D yaw: 1.460180
Time: 1737829243.172306, ID: 42113, yaw: 1.310174, 3D yaw: 1.477479
Time: 1737829243.217235, ID: 42113, yaw: 1.334618, 3D yaw: 1.453819
Time: 1737829243.262158, ID: 42113, yaw: 1.352034, 3D yaw: 1.474657
Time: 1737829243.307269, ID: 42113, yaw: 1.369950, 3D yaw: 1.486141
Time: 1737829243.352257, ID: 42113, yaw: 1.386926, 3D yaw: 1.498898
Time: 1737829243.397092, ID: 42113, yaw: 1.403286, 3D yaw: 1.503684
Time: 1737829243.486948, ID: 42113, yaw: 1.417955, 3D yaw: 1.522864
Time: 1737829243.576803, ID: 42113, yaw: 1.433283, 3D yaw: 1.537103
Time: 1737829243.621556, ID: 42113, yaw: 1.448452, 3D yaw: 1.540830
Time: 1737829243.666628, ID: 42113, yaw: 1.461949, 3D yaw: 1.536167
Time: 1737829243.711538, ID: 42113, yaw: 1.472793, 3D yaw: 1.538026
Time: 1737829243.801957, ID: 42113, yaw: 1.482324, 3D yaw: 1.535469
Time: 1737829243.846372, ID: 42113, yaw: 1.490089, 3D yaw: 1.536605
Time: 1737829243.891225, ID: 42113, yaw: 1.496885, 3D yaw: 1.548572
Time: 1737829243.936220, ID: 42113, yaw: 1.504437, 3D yaw: 1.563657
Time: 1737829243.981159, ID: 42113, yaw: 1.513089, 3D yaw: 1.563279
Time: 1737829244.071235, ID: 42113, yaw: 1.520422, 3D yaw: 1.545132
Time: 1737829244.160951, ID: 42113, yaw: 1.524033, 3D yaw: 1.537745
Time: 1737829244.205962, ID: 42113, yaw: 1.526036, 3D yaw: 1.561707
Time: 1737829244.251777, ID: 42113, yaw: 1.531248, 3D yaw: 1.561709
Time: 1737829244.475618, ID: 42113, yaw: 1.535698, 3D yaw: 1.564669
Time: 1737829244.521052, ID: 42113, yaw: 1.539931, 3D yaw: 1.556296
Time: 1737829244.565340, ID: 42113, yaw: 1.542322, 3D yaw: 1.557272
Time: 1737829244.610157, ID: 42113, yaw: 1.544506, 3D yaw: 1.567030
Time: 1737829244.700002, ID: 42113, yaw: 1.547797, 3D yaw: 1.575405
Time: 1737829244.790248, ID: 42113, yaw: 1.551831, 3D yaw: 1.580825
Time: 1737829244.835016, ID: 42113, yaw: 1.556067, 3D yaw: 1.575977
Time: 1737829245.014813, ID: 42113, yaw: 1.558976, 3D yaw: 1.506407
Time: 1737829245.239625, ID: 42113, yaw: 1.551295, 3D yaw: 1.547736
Time: 1737829245.419067, ID: 42113, yaw: 1.550775, 3D yaw: 1.544920
Time: 1737829245.508953, ID: 42113, yaw: 1.549920, 3D yaw: 1.534459
Time: 1737829245.598796, ID: 42113, yaw: 1.547661, 3D yaw: 1.536425
Time: 1737829245.913473, ID: 42113, yaw: 1.546019, 3D yaw: 1.612127
